	Collection name	Owner	Size (GB)	Total	Compound Objects	BMP	DB	DOC	DOCM	DOCX	GIF	HTM	HTML	JP2	JPF	JPG	LNK	M4V	MHT	MOV	MP3	MP4	Null	PDF	PNG	RAM	RM	SID	TIF	TXT	URL	WAV	WMV	XLS	XLSX
p16313coll62	Louisiana Ephemera at the University of New Orleans	UNO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
p16313coll65	Louisiana Decoys and Wildfowl Artifacts	HNOC	3.28	426	59	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll67	Louisiana Documents of the State Library	State Library 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll69	LSU Music Resources Sheet Music Collection	LSU	2.54	763	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	756	0	0	0	0	0	0	0	0	0	0	0
p16313coll7	Driftwood - Student newspapers at the University of New Orleans	UNO	0.04	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
p16313coll70	Jack Ritchie Collection	La Tech	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll72	Orleans Parish School Board Meeting Minutes -- Indexes	UNO	0.12	117	3	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll74	McNeese State University Electronic Theses	McNeese	0.37	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
p16313coll76	Doussan family papers, 1827-1872	LSU	0.28	455	94	0	0	0	0	0	0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll77	Louisiana State University Agricultural Experiment Station Reports	LSU	6.9	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	0
p16313coll79	Louisiana Railroad Depot Photograph Collection	LSU	0.01	129	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll8	Gras-Lauzin Family Papers	LSU	0.36	357	70	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
p16313coll80	Louisiana Runaway Slave Advertisements, 1836-1865	LSU	0.04	354	40	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll81	John B. Heroman, Sr. photograph collection, circa 1885-1940	LSU	6.01	815	15	0	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll83	Records of the Spanish Cabildo (1769-1803)	Louisiana State Museum	0.18	251	11	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll85	Lumières - A Publication of the Friends of the LSU Libraries	LSU	0.63	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
p16313coll86	Ex Parte Plessy (Plessy v. Ferguson)	UNO	0.13	159	14	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll87	Loyola University New Orleans Community and Resilience Collection	Loyola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll88	David R. Williams Collection	ULL	0.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll89	Cenobium - LSU School of Veterinary Medicine's Yearbook	LSU	0.21	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
p16313coll9	Edith Dabney Doll Collection	LSU	0.34	416	82	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll91	Loyola University New Orleans Scrapbook Collection	Loyola	1.66	773	15	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll93	New Orleans Review Collection	Loyola	0.55	54	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p267101coll4	Louisiana State Documents Digital Archive	State Library 	20.5	15739	87	1	1	191	10	3	0	1	1	7	0	0	0	0	587	0	0	0	0	12324	0	0	0	0	0	9	2514	0	0	3	0
PSL	Historic Photographs of Southwest Louisiana	McNeese	4.53	5636	2	0	0	0	0	0	52	0	0	3149	0	2376	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
RJR	Louisiana Coastal Ecology, Richard J. Russell Collection	LSU	0.24	210	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	74	0	13	0	0	0	0	0	0	0	0	0
RMC	Robert S.Maestri Photograph Collection	Louisiana State Museum	0.07	830	0	0	0	0	0	0	0	0	0	0	0	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSP	Rowles Stereograph Collection	Louisiana State Museum	0.04	381	0	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTC	Robert Tebbs Photograph	Louisiana State Museum	0.04	345	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTP	Reconstruction Through Progressivism Collection	TAHIL	0.01	18	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
SartainEngravings	Perine-Giles-Sartain Engravings, circa 19th century	LSU	0.02	76	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIP	Southwestern Louisiana Institute Photographs, 1923-1940	ULL	0.33	2524	0	0	0	0	0	0	0	0	0	0	0	2524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STC	Strand Theater Collection	LSUS	0.02	89	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAH	Teaching American History Collection	TAHIL	0.01	51	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tensas	Tensas River National Wildlife Refuge Ivory Billed Woodpecker Records	LSU	0.08	106	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THW	T. Harry Williams Center for Oral History	LSU	0.02	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLD	LSU Architectural Drawings by Theodore Link	LSU	0.04	163	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNO_ANI	University of New Orleans Anniversary	UNO	2.98	277	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNO_JBF	Joseph Bauer Family Album	UNO	0.12	222	1	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNO_SCC	UNO Historical Archives of the Supreme Court of Louisiana	UNO	17.44	22846	1076	0	0	0	0	0	0	0	0	0	0	21770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBC	Verla Birrell Textiles and Designs	SUBR	0	36	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wri-boy	Wright-Boyd Family Papers at LSU Libraries	LSU	0.01	20	2	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Great Southern Lumber Company, 1924-1938	LSU	0.06	128	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	ZEEs TEST COLLECTION	N/A	0.13	57	7	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0
	World War I Maxillofacial Wounds Photo Album		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																			
DUBLIN2	Generic Collection Template (Dublin 2)	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll49	LSU Health Sciences Center New Orleans - Catalog and Bulletin	LSUHSCNO	2.5	128	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIS	Wiseman Photograph Collection	LSU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																			
																																			
AMA	American Missionary Association Photographs, 1839-1954	Tulane	0.36	3342	0	0	0	0	0	0	0	0	0	0	0	3342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll15	Lippman Collection of Civil War Postal Covers	Tulane	0.03	40	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll24	Matas Health Sciences Library Historic Photographs	Tulane	0.38	67	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll29	Mistick Krewe of Comus 1910 Float Designs	Tulane	0.15	20	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll3	Mistick Krewe of Comus 1873 Missing Links Parade Costume Designs	Tulane	1.13	101	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll38	Leon Trice Louisiana Political Photographs	Tulane	1.11	150	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll47	Louisiana Sheet Music	Tulane	2.42	630	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	0	0	0
p15140coll57	Menus, restaurant brochures, and food advertising flyers from the Louisiana Re	Tulane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll58	Louisiana Menu and Restaurant Collection	Tulane	2.14	1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	0	0	0	0	0	0	0	0	0	0	0
p15140coll59	Slavery, the Civil War, and Reconstruction	Tulane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll9	Oral Histories of New Orleans Jazz	Tulane	0.01	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
p16313coll11	WTUL - a collection from Tulane University's independent radio station	Tulane	1.2	231	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	124	0	0	93	0	0	0	0	0	0	0	0	0	0	0
p16313coll13	Tulane University Football Programs	Tulane	1.19	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0
p16313coll15	Mexican Incunabula (1559-1600) at the Latin American Library	Tulane	0.76	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
p16313coll16	Early Images of Latin America	Tulane	9.72	1680	0	0	0	0	0	0	0	0	0	1678	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll27	Tulane Library Speaker Series	Tulane	6.84	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll33	Hogan Jazz Archive Photography Collection	Tulane	39.44	2492	0	0	0	0	0	0	0	0	0	2492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll38	24th General Hospital in World War II	Tulane	0.64	134	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll39	Bourbon Street, 1944-1952	Tulane	1.68	229	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll4	Ralston Crawford Collection of Jazz Photography	Tulane	6.05	786	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll40	Collected Historical Documents from the A.P. Tureaud Papers	Tulane	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll42	Print Culture of the Civil Rights Movement, 1950-1980	Tulane	0.31	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
p16313coll46	Social Framework - Photographs by Marion Palfi, 1945-1960	Tulane	0.33	246	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll47	Amistad Research Center Oral History Collection	Tulane	0.4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll53	Cole Coleman Photographs	Tulane	0.18	560	0	0	0	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p16313coll6	Jambalaya and T-Wave Yearbooks	Tulane	3.85	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0
p16313coll73	Black Natchez	Tulane	0.48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll75	The Architect's Eye	Tulane	1.85	116	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
p16313coll78	Nicaraguan Presidential Papers	Tulane	0.12	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
p16313coll82	OECS Test	Tulane	0.01	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p16313coll84	New Orleans Independent Music Digital Collection	Tulane	0.23	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll45	Essai d'Anatomie	Tulane	0.12	28	1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll12	Tulane University Theses and Dissertations Archive	Tulane	3	4952	1	0	0	0	0	0	0	0	0	42	0	1	0	0	0	0	0	0	4482	425	0	0	0	0	0	0	0	0	0	0	1
p16313coll37	Mesoamerican Painted Manuscripts at the Latin American Library	Tulane	0.36	32	1	0	0	0	0	0	0	0	0	15	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
p16313coll41	Images from the Civil War and Reconstruction	Tulane	5.45	1061	1	0	0	0	0	0	0	0	0	1057	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
p16313coll63	The Crescent City Pictorial	Tulane	0.09	36	1	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll71	John Kennedy Toole Papers	Tulane	0.06	202	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0
p15140coll34	Registre Du Comite Medical De La Nouvelle Orleans, 1816-1854	Tulane	0.28	234	3	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll66	Sounding Translation	Tulane	0.11	12	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll39	Newcomb College Scrapbooks	Tulane	1.99	1706	9	0	0	0	0	0	0	0	0	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll59	M. O. Gershenzon Archive	Tulane	0.08	30	10	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll64	Sounds of Louisiana	Tulane	0.1	35	10	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0
p16313coll30	Guiseppe Ferrata Score Collection	Tulane	0.19	78	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0
p15140coll37	Louisiana Political Ephemera, 1860-1920	Tulane	0.45	99	18	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll14	Tulane University Band Historical Collection	Tulane	0.59	296	33	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll68	NOLA Hip Hop and Bounce Archive	Tulane	24.97	124	38	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
HTU	Tulane University	Tulane	0.25	241	42	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll40	Carnival Collection	Tulane	46.73	5657	56	0	0	0	0	0	0	0	0	5601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p15140coll25	Charity Hospital Reports	Tulane	2.08	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p16313coll29	French Colonial, Spanish Colonial, and Nineteenth-Century Louisiana Documents	Tulane	3.14	1510	122	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	1359	0	0	0	0	0	0	0	0	0	0	0
